"","seed","type","age_death","id","seed"
"301",1084,"Joint Man/Woman",88,17,1084
"302",798,"Joint Man/Woman",82,436,798
"303",382,"Joint Man/Woman",83,271,382
"304",915,"Joint Man/Woman",98,481,915
"305",547,"Joint Man/Woman",88,75,547
"306",981,"Joint Man/Woman",77,846,981
"307",434,"Joint Man/Woman",89,453,434
"308",1109,"Joint Man/Woman",99,37,1109
"309",616,"Joint Man/Woman",91,829,616
"310",366,"Joint Man/Woman",83,887,366
"311",554,"Joint Man/Woman",96,200,554
"312",637,"Joint Man/Woman",97,642,637
"313",155,"Joint Man/Woman",83,922,155
"314",536,"Joint Man/Woman",84,330,536
"315",489,"Joint Man/Woman",95,873,489
"316",134,"Joint Man/Woman",87,32,134
"317",124,"Joint Man/Woman",101,317,124
"318",366,"Joint Man/Woman",93,650,366
"319",509,"Joint Man/Woman",84,47,509
"320",661,"Joint Man/Woman",103,178,661
"321",646,"Joint Man/Woman",96,220,646
"322",282,"Joint Man/Woman",92,594,282
"323",876,"Joint Man/Woman",90,311,876
"324",380,"Joint Man/Woman",93,852,380
"325",145,"Joint Man/Woman",92,156,145
"326",807,"Joint Man/Woman",89,389,807
"327",762,"Joint Man/Woman",97,978,762
"328",281,"Joint Man/Woman",86,430,281
"329",331,"Joint Man/Woman",85,938,331
"330",247,"Joint Man/Woman",101,326,247
"331",526,"Joint Man/Woman",85,811,526
"332",817,"Joint Man/Woman",97,615,817
"333",215,"Joint Man/Woman",98,113,215
"334",627,"Joint Man/Woman",92,576,627
"335",344,"Joint Man/Woman",87,215,344
"336",648,"Joint Man/Woman",96,958,648
"337",409,"Joint Man/Woman",89,354,409
"338",977,"Joint Man/Woman",84,446,977
"339",1031,"Joint Man/Woman",93,924,1031
"340",557,"Joint Man/Woman",93,403,557
"341",677,"Joint Man/Woman",86,255,677
"342",215,"Joint Man/Woman",92,530,215
"343",826,"Joint Man/Woman",93,447,826
"344",943,"Joint Man/Woman",92,103,943
"345",934,"Joint Man/Woman",75,940,934
"346",937,"Joint Man/Woman",88,220,937
"347",245,"Joint Man/Woman",100,464,245
"348",641,"Joint Man/Woman",93,13,641
"349",380,"Joint Man/Woman",91,382,380
"350",376,"Joint Man/Woman",83,587,376
"351",890,"Joint Man/Woman",86,116,890
"352",759,"Joint Man/Woman",83,570,759
"353",1074,"Joint Man/Woman",85,313,1074
"354",209,"Joint Man/Woman",96,436,209
"355",654,"Joint Man/Woman",92,956,654
"356",989,"Joint Man/Woman",97,569,989
"357",438,"Joint Man/Woman",88,283,438
"358",659,"Joint Man/Woman",83,706,659
"359",900,"Joint Man/Woman",87,90,900
"360",198,"Joint Man/Woman",88,266,198
"361",331,"Joint Man/Woman",89,106,331
"362",946,"Joint Man/Woman",96,437,946
"363",601,"Joint Man/Woman",88,452,601
"364",239,"Joint Man/Woman",84,654,239
"365",753,"Joint Man/Woman",89,488,753
"366",874,"Joint Man/Woman",96,535,874
"367",487,"Joint Man/Woman",86,723,487
"368",285,"Joint Man/Woman",76,778,285
"369",185,"Joint Man/Woman",75,32,185
"370",479,"Joint Man/Woman",95,338,479
"371",954,"Joint Man/Woman",92,566,954
"372",615,"Joint Man/Woman",83,901,615
"373",375,"Joint Man/Woman",91,908,375
"374",926,"Joint Man/Woman",83,278,926
"375",1097,"Joint Man/Woman",86,925,1097
"376",468,"Joint Man/Woman",89,33,468
"377",470,"Joint Man/Woman",89,714,470
"378",1023,"Joint Man/Woman",91,999,1023
"379",1093,"Joint Man/Woman",101,130,1093
"380",601,"Joint Man/Woman",93,870,601
"381",1012,"Joint Man/Woman",96,874,1012
"382",316,"Joint Man/Woman",88,139,316
"383",340,"Joint Man/Woman",96,360,340
"384",450,"Joint Man/Woman",93,19,450
"385",768,"Joint Man/Woman",94,242,768
"386",551,"Joint Man/Woman",86,900,551
"387",547,"Joint Man/Woman",92,458,547
"388",945,"Joint Man/Woman",96,366,945
"389",698,"Joint Man/Woman",92,130,698
"390",513,"Joint Man/Woman",86,755,513
"391",653,"Joint Man/Woman",93,934,653
"392",328,"Joint Man/Woman",90,860,328
"393",957,"Joint Man/Woman",85,587,957
"394",693,"Joint Man/Woman",95,79,693
"395",650,"Joint Man/Woman",91,762,650
"396",696,"Joint Man/Woman",89,961,696
"397",722,"Joint Man/Woman",94,860,722
"398",453,"Joint Man/Woman",90,165,453
"399",640,"Joint Man/Woman",92,10,640
"400",1062,"Joint Man/Woman",74,382,1062
"401",464,"Joint Man/Woman",89,476,464
"402",1046,"Joint Man/Woman",90,673,1046
"403",138,"Joint Man/Woman",83,705,138
"404",1063,"Joint Man/Woman",97,314,1063
"405",163,"Joint Man/Woman",92,175,163
"406",362,"Joint Man/Woman",93,366,362
"407",605,"Joint Man/Woman",89,571,605
"408",805,"Joint Man/Woman",89,237,805
"409",777,"Joint Man/Woman",95,433,777
"410",1100,"Joint Man/Woman",94,206,1100
"411",729,"Joint Man/Woman",96,1000,729
"412",445,"Joint Man/Woman",80,747,445
"413",519,"Joint Man/Woman",93,236,519
"414",399,"Joint Man/Woman",86,65,399
"415",983,"Joint Man/Woman",88,775,983
"416",1079,"Joint Man/Woman",89,958,1079
"417",301,"Joint Man/Woman",86,550,301
"418",308,"Joint Man/Woman",74,204,308
"419",536,"Joint Man/Woman",76,501,536
"420",510,"Joint Man/Woman",85,702,510
"421",628,"Joint Man/Woman",80,385,628
"422",334,"Joint Man/Woman",98,658,334
"423",252,"Joint Man/Woman",87,650,252
"424",486,"Joint Man/Woman",86,100,486
"425",498,"Joint Man/Woman",95,263,498
"426",793,"Joint Man/Woman",92,472,793
"427",982,"Joint Man/Woman",98,915,982
"428",964,"Joint Man/Woman",79,648,964
"429",561,"Joint Man/Woman",93,585,561
"430",873,"Joint Man/Woman",85,624,873
"431",524,"Joint Man/Woman",87,873,524
"432",751,"Joint Man/Woman",86,106,751
"433",291,"Joint Man/Woman",97,676,291
"434",344,"Joint Man/Woman",88,274,344
"435",375,"Joint Man/Woman",89,25,375
"436",342,"Joint Man/Woman",79,233,342
"437",883,"Joint Man/Woman",92,36,883
"438",544,"Joint Man/Woman",97,660,544
"439",927,"Joint Man/Woman",92,65,927
"440",167,"Joint Man/Woman",90,842,167
"441",937,"Joint Man/Woman",80,950,937
"442",820,"Joint Man/Woman",91,228,820
"443",321,"Joint Man/Woman",87,651,321
"444",921,"Joint Man/Woman",97,52,921
"445",515,"Joint Man/Woman",88,117,515
"446",1109,"Joint Man/Woman",91,876,1109
"447",256,"Joint Man/Woman",96,918,256
"448",333,"Joint Man/Woman",82,1,333
"449",652,"Joint Man/Woman",87,104,652
"450",229,"Joint Man/Woman",97,148,229
"451",417,"Joint Man/Woman",85,234,417
"452",749,"Joint Man/Woman",97,937,749
"453",594,"Joint Man/Woman",94,542,594
"454",463,"Joint Man/Woman",92,153,463
"455",626,"Joint Man/Woman",92,176,626
"456",850,"Joint Man/Woman",82,630,850
"457",410,"Joint Man/Woman",92,675,410
"458",399,"Joint Man/Woman",95,387,399
"459",612,"Joint Man/Woman",100,172,612
"460",714,"Joint Man/Woman",92,784,714
"461",354,"Joint Man/Woman",85,113,354
"462",145,"Joint Man/Woman",91,923,145
"463",918,"Joint Man/Woman",77,70,918
"464",855,"Joint Man/Woman",85,221,855
"465",650,"Joint Man/Woman",89,636,650
"466",662,"Joint Man/Woman",78,500,662
"467",642,"Joint Man/Woman",84,450,642
"468",1105,"Joint Man/Woman",91,130,1105
"469",403,"Joint Man/Woman",83,410,403
"470",182,"Joint Man/Woman",75,36,182
"471",600,"Joint Man/Woman",86,177,600
"472",1113,"Joint Man/Woman",91,269,1113
"473",616,"Joint Man/Woman",90,501,616
"474",430,"Joint Man/Woman",84,723,430
"475",197,"Joint Man/Woman",101,380,197
"476",375,"Joint Man/Woman",92,696,375
"477",567,"Joint Man/Woman",98,787,567
"478",1051,"Joint Man/Woman",81,739,1051
"479",1007,"Joint Man/Woman",89,715,1007
"480",1103,"Joint Man/Woman",82,552,1103
"481",870,"Joint Man/Woman",94,104,870
"482",890,"Joint Man/Woman",97,627,890
"483",900,"Joint Man/Woman",99,49,900
"484",156,"Joint Man/Woman",99,912,156
"485",415,"Joint Man/Woman",97,807,415
"486",882,"Joint Man/Woman",72,64,882
"487",1099,"Joint Man/Woman",78,634,1099
"488",867,"Joint Man/Woman",90,395,867
"489",758,"Joint Man/Woman",79,505,758
"490",548,"Joint Man/Woman",97,692,548
"491",314,"Joint Man/Woman",90,286,314
"492",613,"Joint Man/Woman",93,73,613
"493",172,"Joint Man/Woman",87,814,172
"494",1078,"Joint Man/Woman",90,766,1078
"495",398,"Joint Man/Woman",91,404,398
"496",567,"Joint Man/Woman",91,753,567
"497",517,"Joint Man/Woman",92,344,517
"498",295,"Joint Man/Woman",86,507,295
"499",993,"Joint Man/Woman",85,934,993
"500",453,"Joint Man/Woman",96,66,453
"501",396,"Joint Man/Woman",84,730,396
"502",836,"Joint Man/Woman",95,289,836
"503",838,"Joint Man/Woman",91,594,838
"504",390,"Joint Man/Woman",82,406,390
"505",131,"Joint Man/Woman",88,696,131
"506",450,"Joint Man/Woman",96,496,450
"507",738,"Joint Man/Woman",90,634,738
"508",791,"Joint Man/Woman",98,442,791
"509",653,"Joint Man/Woman",98,699,653
"510",580,"Joint Man/Woman",90,404,580
"511",934,"Joint Man/Woman",95,184,934
"512",575,"Joint Man/Woman",92,570,575
"513",318,"Joint Man/Woman",82,897,318
"514",1039,"Joint Man/Woman",78,645,1039
"515",456,"Joint Man/Woman",89,366,456
"516",676,"Joint Man/Woman",75,412,676
"517",932,"Joint Man/Woman",71,388,932
"518",676,"Joint Man/Woman",88,849,676
"519",427,"Joint Man/Woman",91,785,427
"520",500,"Joint Man/Woman",81,499,500
"521",242,"Joint Man/Woman",97,795,242
"522",450,"Joint Man/Woman",80,505,450
"523",900,"Joint Man/Woman",80,630,900
"524",416,"Joint Man/Woman",103,173,416
"525",871,"Joint Man/Woman",95,225,871
"526",1024,"Joint Man/Woman",88,316,1024
"527",636,"Joint Man/Woman",86,618,636
"528",151,"Joint Man/Woman",90,378,151
"529",744,"Joint Man/Woman",92,447,744
"530",859,"Joint Man/Woman",92,259,859
"531",267,"Joint Man/Woman",92,859,267
"532",236,"Joint Man/Woman",91,779,236
"533",171,"Joint Man/Woman",91,864,171
"534",240,"Joint Man/Woman",95,767,240
"535",311,"Joint Man/Woman",86,36,311
"536",453,"Joint Man/Woman",93,587,453
"537",304,"Joint Man/Woman",97,175,304
"538",959,"Joint Man/Woman",81,545,959
"539",360,"Joint Man/Woman",106,953,360
"540",1050,"Joint Man/Woman",94,544,1050
"541",804,"Joint Man/Woman",73,272,804
"542",1106,"Joint Man/Woman",94,180,1106
"543",703,"Joint Man/Woman",84,431,703
"544",293,"Joint Man/Woman",85,819,293
"545",367,"Joint Man/Woman",86,283,367
"546",143,"Joint Man/Woman",88,904,143
"547",164,"Joint Man/Woman",95,964,164
"548",544,"Joint Man/Woman",98,638,544
"549",313,"Joint Man/Woman",87,544,313
"550",774,"Joint Man/Woman",75,326,774
"551",788,"Joint Man/Woman",98,756,788
"552",400,"Joint Man/Woman",94,595,400
"553",866,"Joint Man/Woman",96,918,866
"554",505,"Joint Man/Woman",82,631,505
"555",702,"Joint Man/Woman",78,194,702
"556",1030,"Joint Man/Woman",88,530,1030
"557",898,"Joint Man/Woman",88,775,898
"558",1045,"Joint Man/Woman",98,659,1045
"559",232,"Joint Man/Woman",75,606,232
"560",1095,"Joint Man/Woman",89,549,1095
"561",794,"Joint Man/Woman",96,846,794
"562",1024,"Joint Man/Woman",85,963,1024
"563",943,"Joint Man/Woman",89,781,943
"564",740,"Joint Man/Woman",81,223,740
"565",1105,"Joint Man/Woman",92,58,1105
"566",944,"Joint Man/Woman",72,330,944
"567",950,"Joint Man/Woman",94,453,950
"568",312,"Joint Man/Woman",78,863,312
"569",379,"Joint Man/Woman",78,569,379
"570",442,"Joint Man/Woman",91,589,442
"571",933,"Joint Man/Woman",85,825,933
"572",949,"Joint Man/Woman",89,757,949
"573",643,"Joint Man/Woman",97,635,643
"574",290,"Joint Man/Woman",85,299,290
"575",391,"Joint Man/Woman",93,345,391
"576",1089,"Joint Man/Woman",92,151,1089
"577",691,"Joint Man/Woman",86,813,691
"578",393,"Joint Man/Woman",86,929,393
"579",337,"Joint Man/Woman",94,531,337
"580",934,"Joint Man/Woman",98,711,934
"581",368,"Joint Man/Woman",87,63,368
"582",926,"Joint Man/Woman",88,185,926
"583",839,"Joint Man/Woman",92,497,839
"584",969,"Joint Man/Woman",79,737,969
"585",715,"Joint Man/Woman",71,61,715
"586",508,"Joint Man/Woman",94,407,508
"587",359,"Joint Man/Woman",81,722,359
"588",458,"Joint Man/Woman",92,621,458
"589",576,"Joint Man/Woman",99,440,576
"590",133,"Joint Man/Woman",93,334,133
"591",540,"Joint Man/Woman",89,170,540
"592",1023,"Joint Man/Woman",97,884,1023
"593",144,"Joint Man/Woman",94,823,144
"594",965,"Joint Man/Woman",89,597,965
"595",245,"Joint Man/Woman",88,162,245
"596",215,"Joint Man/Woman",89,890,215
"597",450,"Joint Man/Woman",79,811,450
"598",1070,"Joint Man/Woman",96,291,1070
"599",487,"Joint Man/Woman",84,997,487
"600",172,"Joint Man/Woman",79,61,172
"601",886,"Joint Man/Woman",90,512,886
"602",149,"Joint Man/Woman",97,777,149
"603",1060,"Joint Man/Woman",79,90,1060
"604",346,"Joint Man/Woman",99,902,346
"605",271,"Joint Man/Woman",93,538,271
"606",328,"Joint Man/Woman",87,469,328
"607",195,"Joint Man/Woman",90,64,195
"608",323,"Joint Man/Woman",99,343,323
"609",485,"Joint Man/Woman",97,416,485
"610",729,"Joint Man/Woman",98,40,729
"611",575,"Joint Man/Woman",103,411,575
"612",350,"Joint Man/Woman",93,291,350
"613",572,"Joint Man/Woman",95,317,572
"614",519,"Joint Man/Woman",85,875,519
"615",732,"Joint Man/Woman",89,206,732
"616",390,"Joint Man/Woman",88,244,390
"617",627,"Joint Man/Woman",87,334,627
"618",994,"Joint Man/Woman",84,408,994
"619",279,"Joint Man/Woman",92,580,279
"620",750,"Joint Man/Woman",94,481,750
"621",544,"Joint Man/Woman",96,644,544
"622",529,"Joint Man/Woman",80,120,529
"623",941,"Joint Man/Woman",88,937,941
"624",338,"Joint Man/Woman",97,677,338
"625",882,"Joint Man/Woman",92,764,882
"626",624,"Joint Man/Woman",103,351,624
